employee_id,user_id,verification_type,timestamp,status
EMP001,EMP001,shift_start,2025-08-10T11:52:23.463Z,verified
EMP001,EMP001,shift_start,2025-08-10T11:52:38.616Z,verified
EMP001,EMP001,shift_start,2025-08-10T11:52:52.298Z,verified
EMP001,EMP001,shift_start,2025-08-10T12:05:30.288Z,verified
EMP001,EMP001,shift_start,2025-08-10T12:06:03.558Z,verified
EMP001,EMP001,shift_start,2025-08-10T12:11:33.801Z,verified
EMP200,EMP200,shift_start,2025-08-10T12:33:18.077Z,verified
EMP200,EMP200,shift_start,2025-08-10T12:33:43.634Z,verified
EMP200,EMP200,shift_start,2025-08-10T13:09:20.992Z,verified
EMP001,EMP001,shift_start,2025-08-10T14:35:35.962Z,verified
EMP200,EMP200,shift_start,2025-08-10T14:42:54.956Z,verified
EMP200,EMP200,shift_start,2025-08-10T14:46:21.700Z,verified
EMP001,EMP001,shift_start,2025-08-10T14:55:30.739Z,verified
EMP001,EMP001,shift_start,2025-08-10T14:56:02.902Z,verified
EMP001,EMP001,shift_start,2025-08-10T14:56:47.907Z,verified
EMP001,EMP001,shift_start,2025-08-10T15:12:51.257Z,verified
EMP001,EMP001,shift_start,2025-08-10T15:14:08.240Z,verified
EMP001,EMP001,shift_start,2025-08-11T05:30:35.271Z,verified
EMP200,EMP200,shift_start,2025-08-11T05:55:08.807Z,verified
EMP200,EMP200,shift_start,2025-08-11T06:35:06.988Z,verified
EMP029,EMP029,shift_start,2025-08-11T06:35:52.337Z,verified
EMP001,EMP001,shift_start,2025-08-11T09:34:21.609Z,verified
EMP001,EMP001,shift_start,2025-08-11T10:41:36.478Z,verified
EMP001,EMP001,shift_start,2025-08-11T11:07:35.514Z,verified
EMP001,EMP001,shift_start,2025-08-11T15:03:20.211Z,verified
EMP001,EMP001,shift_start,2025-08-11T15:03:35.423Z,verified
EMP200,EMP200,shift_start,2025-08-11T15:04:06.595Z,verified
EMP420,EMP420,shift_start,2025-08-11T15:41:00.498Z,verified
EMP200,EMP200,shift_start,2025-08-13T15:13:37.838Z,verified
EMP001,EMP001,shift_start,2025-08-14T10:19:06.585Z,verified
